dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
m,omp,16,static,1024,2,3,33447.299806,39.516,NA
m,omp,16,static,1024,3,3,33447.299806,45.004,NA
m,omp,16,static,1024,4,3,33447.299806,44.953,NA
m,omp,16,static,1024,5,3,33447.299806,47.258,NA
m,omp,16,static,1024,0,NA,NA,NA,44.953
m,omp,1,dynamic,1,1,3,33447.299806,8.748,NA
m,omp,1,dynamic,1,2,3,33447.299806,8.202,NA
m,omp,1,dynamic,1,3,3,33447.299806,8.377,NA
m,omp,1,dynamic,1,4,3,33447.299806,8.345,NA
m,omp,1,dynamic,1,5,3,33447.299806,8.399,NA
m,omp,1,dynamic,1,0,NA,NA,NA,8.377
m,omp,2,dynamic,1,1,3,33447.299806,16.098,NA
m,omp,2,dynamic,1,2,3,33447.299806,19.529,NA
m,omp,2,dynamic,1,3,3,33447.299806,18.211,NA
m,omp,2,dynamic,1,4,3,33447.299806,18.513,NA
m,omp,2,dynamic,1,5,3,33447.299806,20.012,NA
m,omp,2,dynamic,1,0,NA,NA,NA,18.513
m,omp,4,dynamic,1,1,3,33447.299806,18.447,NA
m,omp,4,dynamic,1,2,3,33447.299806,18.866,NA
m,omp,4,dynamic,1,3,3,33447.299806,19.912,NA
m,omp,4,dynamic,1,4,3,33447.299806,19.506,NA
m,omp,4,dynamic,1,5,3,33447.299806,17.954,NA
m,omp,4,dynamic,1,0,NA,NA,NA,18.866
m,omp,8,dynamic,1,1,3,33447.299806,11.753,NA
m,omp,8,dynamic,1,2,3,33447.299806,15.279,NA
m,omp,8,dynamic,1,3,3,33447.299806,14.024,NA
m,omp,8,dynamic,1,4,3,33447.299806,15.670,NA
m,omp,8,dynamic,1,5,3,33447.299806,14.519,NA
m,omp,8,dynamic,1,0,NA,NA,NA,14.519
m,omp,16,dynamic,1,1,3,33447.299806,46.565,NA
m,omp,16,dynamic,1,2,3,33447.299806,44.912,NA
m,omp,16,dynamic,1,3,3,33447.299806,39.342,NA
m,omp,16,dynamic,1,4,3,33447.299806,46.641,NA
m,omp,16,dynamic,1,5,3,33447.299806,40.106,NA
m,omp,16,dynamic,1,0,NA,NA,NA,44.912
m,omp,1,dynamic,64,1,3,33447.299806,2.044,NA
m,omp,1,dynamic,64,2,3,33447.299806,2.178,NA
m,omp,1,dynamic,64,3,3,33447.299806,2.141,NA
m,omp,1,dynamic,64,4,3,33447.299806,2.137,NA
m,omp,1,dynamic,64,5,3,33447.299806,2.269,NA
m,omp,1,dynamic,64,0,NA,NA,NA,2.141
m,omp,2,dynamic,64,1,3,33447.299806,2.289,NA
m,omp,2,dynamic,64,2,3,33447.299806,2.551,NA
m,omp,2,dynamic,64,3,3,33447.299806,2.611,NA
m,omp,2,dynamic,64,4,3,33447.299806,2.679,NA
